routing,ts,src,dst,src_ip,dst_ip,loss_pct,rtt_min,rtt_avg,rtt_max,rtt_mdev
l2_learn,1785386020.1781456,corp2,cdn1,10.7.0.2,10.4.0.1,0.0,22.438,22.516,22.65,0.094
l2_learn,1785386032.22033,root1,corp2,10.1.0.1,10.7.0.2,0.0,26.048,26.122,26.235,0.081
l2_learn,1785386035.8101904,cdn1,corp1,10.4.0.1,10.7.0.1,0.0,20.453,20.678,21.114,0.307
l2_learn,1785386049.063338,root1,corp1,10.1.0.1,10.7.0.1,33.3333,614.462,616.255,618.048,1.793
l2_learn,1785386061.3344536,mob2,home1,10.8.0.2,10.9.0.1,0.0,146.041,150.558,159.353,6.219
l2_learn,1785386063.435078,isp_gw,mob1,10.2.0.1,10.8.0.1,0.0,96.06,96.393,97.049,0.463
l2_learn,1785386065.6501625,home1,mob2,10.9.0.1,10.8.0.2,0.0,146.047,146.063,146.089,0.018
l2_learn,1785386078.734145,mob1,mob2,10.8.0.1,10.8.0.2,33.3333,190.044,296.921,403.798,106.877
l2_learn,1785386080.8886335,mob2,cdn1,10.8.0.2,10.4.0.1,0.0,151.447,152.321,154.05,1.222
l2_learn,1785386083.0950515,origin,mob1,10.5.0.1,10.8.0.1,0.0,124.072,124.093,124.11,0.015
l2_learn,1785386095.2202642,mob1,corp1,10.8.0.1,10.7.0.1,0.0,111.077,115.567,124.233,6.129
l2_learn,1785386098.9582186,cdn2,origin,10.4.0.2,10.5.0.1,0.0,1675.163,2699.792,3725.403,837.007
l2_learn,1785386102.041712,origin,mob2,10.5.0.1,10.8.0.2,33.3333,154.082,154.102,154.123,0.02
l2_learn,1785386115.614143,root1,corp2,10.1.0.1,10.7.0.2,0.0,26.043,26.231,26.443,0.164
l2_learn,1785386118.0216968,isp_gw,corp2,10.2.0.1,10.7.0.2,0.0,29.063,29.09,29.135,0.031
l2_learn,1785386120.3408673,corp2,mob2,10.7.0.2,10.8.0.2,0.0,319.319,326.289,331.484,5.122
l2_learn,1785386132.905423,cdn1,home1,10.4.0.1,10.9.0.1,0.0,158.42,273.038,348.526,82.395
l2_learn,1785386135.218463,corp1,home2,10.7.0.1,10.9.0.2,0.0,307.074,335.771,380.583,32.1
l2_learn,1785386137.225746,origin,cdn1,10.5.0.1,10.4.0.1,0.0,3.431,4.874,7.524,1.876
l2_learn,1785386150.1374023,corp1,home1,10.7.0.1,10.9.0.1,0.0,67.076,103.512,175.127,50.642
l2_learn,1785386152.158269,cdn1,cdn2,10.4.0.1,10.4.0.2,0.0,0.838,1.597,3.111,1.07
l2_learn,1785386154.314138,home1,mob2,10.9.0.1,10.8.0.2,0.0,146.083,149.872,156.531,4.723
l2_learn,1785386166.3993526,home2,corp1,10.9.0.2,10.7.0.1,0.0,77.079,77.638,78.756,0.79
l2_learn,1785386168.4781892,corp1,cdn1,10.7.0.1,10.4.0.1,0.0,20.453,20.459,20.468,0.006
l2_learn,1785386170.6352656,mob2,cdn1,10.8.0.2,10.4.0.1,0.0,151.458,151.522,151.632,0.078
l2_learn,1785386182.7611442,cdn2,mob1,10.4.0.2,10.8.0.1,0.0,121.451,121.474,121.495,0.018
l2_learn,1785386184.804825,isp_gw,cdn1,10.2.0.1,10.4.0.1,0.0,37.463,40.41,46.166,4.07
l2_learn,1785386200.957459,cdn2,root1,10.4.0.2,10.1.0.1,0.0,4.441,7.955,14.718,4.783
l2_learn,1785386203.0568068,mob1,isp_gw,10.8.0.1,10.2.0.1,0.0,96.058,102.285,114.492,8.632
l2_learn,1785386215.156585,corp1,origin,10.7.0.1,10.5.0.1,0.0,23.07,23.072,23.074,0.001
l2_learn,1785386217.2182207,cdn1,isp_gw,10.4.0.1,10.2.0.1,0.0,37.462,40.571,46.581,4.25
l2_learn,1785386219.3736334,origin,mob1,10.5.0.1,10.8.0.1,0.0,124.094,124.215,124.43,0.152
l2_learn,1785386231.8701854,mob2,home1,10.8.0.2,10.9.0.1,0.0,146.048,147.238,148.623,1.06
l2_learn,1785386235.03831,mob2,cdn2,10.8.0.2,10.4.0.2,0.0,151.475,151.485,151.504,0.013
l2_learn,1785386237.3623774,isp_gw,origin,10.2.0.1,10.5.0.1,0.0,40.086,44.235,49.351,3.843
l2_learn,1785386249.398143,isp_gw,corp2,10.2.0.1,10.7.0.2,0.0,29.071,29.094,29.13,0.025
l2_learn,1785386251.4256775,corp2,cdn1,10.7.0.2,10.4.0.1,0.0,22.44,22.451,22.458,0.008
l2_learn,1785386253.4534442,cdn1,corp2,10.4.0.1,10.7.0.2,0.0,22.445,22.453,22.458,0.005
l2_learn,1785386269.5258389,origin,mob1,10.5.0.1,10.8.0.1,0.0,124.072,126.544,131.456,3.473
l2_learn,1785386271.8131404,cdn2,mob1,10.4.0.2,10.8.0.1,0.0,121.46,125.891,134.734,6.252
l2_learn,1785386273.8418524,cdn2,corp1,10.4.0.2,10.7.0.1,0.0,20.453,20.488,20.547,0.041
l2_learn,1785386285.9061463,corp1,corp2,10.7.0.1,10.7.0.2,0.0,10.049,11.083,13.145,1.457
l2_learn,1785386288.1159308,root1,home2,10.1.0.1,10.9.0.2,0.0,91.057,91.085,91.102,0.019
l2_learn,1785386290.1654189,root1,isp_gw,10.1.0.1,10.2.0.1,0.0,41.084,46.558,57.332,7.618
l2_learn,1785386302.1734705,cdn2,root1,10.4.0.2,10.1.0.1,0.0,4.436,6.055,9.16,2.196
l2_learn,1785386304.3283246,corp1,mob2,10.7.0.1,10.8.0.2,0.0,141.066,250.377,429.703,127.813
l2_learn,1785386306.5701346,home2,mob1,10.9.0.2,10.8.0.1,0.0,126.046,155.7,214.792,41.784
l2_learn,1785386318.776337,home1,corp2,10.9.0.1,10.7.0.2,0.0,69.118,93.992,131.841,27.2
l2_learn,1785386320.9032395,mob1,cdn1,10.8.0.1,10.4.0.1,0.0,121.463,121.473,121.489,0.011
l2_learn,1785386322.9133904,origin,root1,10.5.0.1,10.1.0.1,0.0,7.074,97.385,277.732,127.524
l2_learn,1785386335.034401,origin,corp2,10.5.0.1,10.7.0.2,0.0,25.112,39.068,66.779,19.594
l2_learn,1785386337.2222557,cdn1,mob1,10.4.0.1,10.8.0.1,0.0,121.443,121.625,121.945,0.226
l2_learn,1785386349.346146,mob1,corp2,10.8.0.1,10.7.0.2,0.0,113.067,118.635,129.436,7.638
l2_learn,1785386352.3547568,home1,isp_gw,10.9.0.1,10.2.0.1,33.3333,52.193,67.019,81.845,14.826
l2_learn,1785386354.388132,cdn2,corp1,10.4.0.2,10.7.0.1,0.0,20.434,20.452,20.468,0.014
l2_learn,1785386366.4401464,root1,cdn2,10.1.0.1,10.4.0.2,0.0,4.423,268.528,796.701,373.474
l2_learn,1785386368.6781354,isp_gw,cdn1,10.2.0.1,10.4.0.1,0.0,37.452,37.487,37.538,0.036
l2_learn,1785386370.7691126,cdn1,home2,10.4.0.1,10.9.0.2,0.0,87.456,87.466,87.473,0.007
l2_learn,1785386382.985458,mob1,corp1,10.8.0.1,10.7.0.1,0.0,111.054,122.205,140.143,12.808
l2_learn,1785386385.1894846,origin,home2,10.5.0.1,10.9.0.2,0.0,90.073,129.537,208.071,55.531
l2_learn,1785386387.2182,corp1,origin,10.7.0.1,10.5.0.1,0.0,23.039,23.058,23.077,0.015
l2_learn,1785386399.5286727,cdn1,home2,10.4.0.1,10.9.0.2,0.0,87.472,88.702,91.148,1.729
l2_learn,1785386401.594355,cdn1,origin,10.4.0.1,10.5.0.1,0.0,3.451,115.195,334.783,155.28
l2_learn,1785386413.7541463,origin,mob2,10.5.0.1,10.8.0.2,0.0,154.074,156.148,160.241,2.893
l2_learn,1785386415.8282793,corp1,home1,10.7.0.1,10.9.0.1,0.0,67.729,220.483,525.559,215.721
l2_learn,1785386417.9573133,mob1,root1,10.8.0.1,10.1.0.1,0.0,125.05,125.064,125.072,0.01
l2_learn,1785386429.9741242,cdn1,root1,10.4.0.1,10.1.0.1,0.0,4.431,5.987,8.893,2.056
l2_learn,1785386432.0934603,home1,mob1,10.9.0.1,10.8.0.1,0.0,116.031,119.188,121.517,2.315
l2_learn,1785386448.6231873,cdn2,root1,10.4.0.2,10.1.0.1,0.0,4.44,24.317,62.812,27.224
l2_learn,1785386453.5462797,cdn1,isp_gw,10.4.0.1,10.2.0.1,100.0,,,,
l2_learn,1785386467.590311,isp_gw,home1,10.2.0.1,10.9.0.1,100.0,,,,
l2_learn,1785386470.3101516,cdn1,corp1,10.4.0.1,10.7.0.1,0.0,20.438,23.048,28.241,3.671
l2_learn,1785386482.4105542,mob1,isp_gw,10.8.0.1,10.2.0.1,0.0,96.039,96.044,96.047,0.003
l2_learn,1785386485.1427307,origin,mob2,10.5.0.1,10.8.0.2,0.0,154.052,155.359,157.958,1.837
l2_learn,1785386487.2181685,home1,corp1,10.9.0.1,10.7.0.1,0.0,67.111,72.013,77.405,4.216
l2_learn,1785386499.2488055,root1,corp1,10.1.0.1,10.7.0.1,0.0,24.045,230.817,644.184,292.294
l2_learn,1785386502.2426794,cdn2,mob2,10.4.0.2,10.8.0.2,0.0,151.458,151.764,152.31,0.386
l2_learn,1785386507.1982098,isp_gw,root1,10.2.0.1,10.1.0.1,0.0,41.076,580.835,1660.066,763.131
l2_learn,1785386519.5158784,origin,corp1,10.5.0.1,10.7.0.1,0.0,23.038,23.059,23.072,0.015
l2_learn,1785386522.0021582,mob2,cdn1,10.8.0.2,10.4.0.1,0.0,151.446,151.717,152.257,0.381
