routing,ts,event,link,duration,reorder_pct,gap,delay_add,loss_add,jitter,correlation,mtu,duplicate_pct
ecmp,1785390505.4959228,mtu_blackhole_end,s8-s9,0,,,,,,,,
ecmp,1785390530.0776827,micro_burst,s1-s8,2,,,138.0,13.11,,,,
ecmp,1785390532.639339,micro_burst_end,s1-s8,0,,,,,,,,
ecmp,1785390578.636831,congestion,s6-s4,18,,,32.0,6.38,,,,
ecmp,1785390596.6521013,congestion_end,s6-s4,0,,,,,,,,
ecmp,1785390649.664493,link_flap_start,s1-s2,6,,,,,,,,
ecmp,1785390656.0546806,link_flap_end,s1-s2,0,,,,,,,,
ecmp,1785390849.458548,route_change,s1-s4,6,,,8.0,0.08,,,,
ecmp,1785390855.4716408,route_change_end,s1-s4,0,,,,,,,,
ecmp,1785391037.678346,micro_burst,s1-s8,2,,,84.0,12.66,,,,
ecmp,1785391039.6872523,micro_burst_end,s1-s8,0,,,,,,,,
spf,1785389600.9110026,packet_reorder,s2-s3,10,6.0,5.0,,,,,,
spf,1785389610.9747462,packet_reorder_end,s2-s3,0,,,,,,,,
spf,1785389777.1916957,jitter_spike,s1-s4,12,,,12.0,,17.2,37.0,,
spf,1785389789.2029176,jitter_spike_end,s1-s4,0,,,,,,,,
spf,1785389951.2458706,packet_reorder,s1-s2,14,22.0,6.0,,,,,,
spf,1785389967.9016876,packet_reorder_end,s1-s2,0,,,,,,,,
spf,1785390085.807549,buffer_bloat,s8-s9,10,,,299.0,,,,,
spf,1785390095.8237636,buffer_bloat_end,s8-s9,0,,,,,,,,
spf,1785390509.0596616,micro_burst,s3-s6,2,,,72.0,10.19,,,,
spf,1785390511.067348,micro_burst_end,s3-s6,0,,,,,,,,
spf,1785390722.7128043,congestion,s3-s8,22,,,23.0,4.57,,,,
spf,1785390744.7216809,congestion_end,s3-s8,0,,,,,,,,
spf,1785390900.7423902,congestion,s3-s8,22,,,48.0,2.92,,,,
spf,1785390922.7522187,congestion_end,s3-s8,0,,,,,,,,
spf,1785390999.8143184,congestion,s2-s3,20,,,40.0,6.0,,,,
spf,1785391024.039366,congestion_end,s2-s3,0,,,,,,,,
spf,1785391086.3965254,jitter_spike,s6-s7,7,,,41.0,,27.0,43.0,,
spf,1785391093.4078703,jitter_spike_end,s6-s7,0,,,,,,,,
spf,1785391281.826779,micro_burst,s8-s9,1,,,70.0,12.39,,,,
spf,1785391283.149722,micro_burst_end,s8-s9,0,,,,,,,,
policy,1785391930.19772,congestion,s1-s4,7,,,54.0,7.96,,,,
policy,1785391937.2052257,congestion_end,s1-s4,0,,,,,,,,
policy,1785391994.2032144,packet_reorder,s4-s5,12,23.0,6.0,,,,,,
policy,1785392006.208809,packet_reorder_end,s4-s5,0,,,,,,,,
policy,1785392431.2152948,link_degrade,s1-s4,19,,,34.0,3.38,,,,
policy,1785392450.220382,link_degrade_end,s1-s4,0,,,,,,,,
policy,1785392642.2190828,micro_burst,s6-s4,3,,,73.0,14.53,,,,
policy,1785392645.2238512,micro_burst_end,s6-s4,0,,,,,,,,
policy,1785392916.2263846,link_degrade,s1-s4,15,,,16.0,4.63,,,,
policy,1785392931.231101,link_degrade_end,s1-s4,0,,,,,,,,
policy,1785393093.2301335,packet_reorder,s4-s5,7,10.0,8.0,,,,,,
policy,1785393100.234959,packet_reorder_end,s4-s5,0,,,,,,,,
policy,1785393282.2342815,congestion,s3-s6,11,,,41.0,5.21,,,,
policy,1785393293.2398472,congestion_end,s3-s6,0,,,,,,,,
static,1785392046.5552254,link_degrade,s6-s4,54,,,26.0,1.17,,,,
static,1785392100.5633912,link_degrade_end,s6-s4,0,,,,,,,,
static,1785392457.5707085,congestion,s6-s7,7,,,58.0,2.03,,,,
static,1785392464.5758688,congestion_end,s6-s7,0,,,,,,,,
static,1785392645.5785923,congestion,s4-s5,5,,,50.0,7.17,,,,
static,1785392650.583259,congestion_end,s4-s5,0,,,,,,,,
static,1785392917.5826051,congestion,s2-s3,16,,,46.0,6.0,,,,
static,1785392933.5876782,congestion_end,s2-s3,0,,,,,,,,
static,1785393069.586307,route_change,s6-s4,8,,,10.0,1.03,,,,
static,1785393077.591522,route_change_end,s6-s4,0,,,,,,,,
static,1785393094.5891194,micro_burst,s3-s8,1,,,54.0,9.36,,,,
static,1785393095.5933375,micro_burst_end,s3-s8,0,,,,,,,,
static,1785393521.5958471,link_flap_start,s6-s4,8,,,,,,,,
