routing,ts,host,host_ip,LISTEN,SYN-SENT,SYN-RECV,ESTAB,FIN-WAIT-1,FIN-WAIT-2,CLOSE-WAIT,CLOSING,LAST-ACK,TIME-WAIT,CLOSED,total_connections,active_connections
spf,1785389567.590309,cdn1,10.4.0.1,3,0,0,3,0,0,0,0,0,2,0,8,3
spf,1785389567.5925212,home1,10.9.0.1,0,0,0,2,0,0,0,0,0,2,0,4,2
spf,1785389567.5948696,cdn2,10.4.0.2,3,0,0,2,0,0,0,0,0,4,0,9,2
spf,1785389567.6547894,corp1,10.7.0.1,0,0,0,3,0,0,0,0,0,8,0,11,3
spf,1785389575.657768,home1,10.9.0.1,0,0,0,2,0,0,0,0,0,2,0,4,2
spf,1785389575.7225962,cdn2,10.4.0.2,3,0,0,3,0,0,0,0,0,4,0,10,3
spf,1785389575.7305622,cdn1,10.4.0.1,3,0,0,2,0,0,0,0,0,2,0,7,2
spf,1785389575.7341378,origin,10.5.0.1,3,0,0,2,0,0,0,0,0,3,0,8,2
spf,1785389584.0630376,corp1,10.7.0.1,0,0,0,2,0,0,0,0,0,9,0,11,2
spf,1785389584.067306,isp_gw,10.2.0.1,3,0,0,1,0,0,0,0,0,1,0,5,1
spf,1785389584.0757208,corp2,10.7.0.2,0,0,0,0,0,0,0,0,0,5,0,5,0
spf,1785389584.0793183,home1,10.9.0.1,0,0,0,2,0,0,0,0,0,2,0,4,2
spf,1785389592.086581,home1,10.9.0.1,0,0,0,2,0,0,0,0,0,2,0,4,2
spf,1785389592.0905638,root1,10.1.0.1,3,0,0,2,0,0,0,0,0,8,0,13,2
spf,1785389592.0945444,corp1,10.7.0.1,0,0,0,2,0,0,0,0,0,9,0,11,2
spf,1785389592.1183796,origin,10.5.0.1,3,0,0,0,0,0,0,0,0,3,0,6,0
spf,1785389600.122343,mob2,10.8.0.2,0,0,0,0,0,0,0,0,0,6,0,6,0
spf,1785389600.1269567,home2,10.9.0.2,0,0,0,0,0,0,0,0,0,1,0,1,0
spf,1785389600.1308982,home1,10.9.0.1,0,0,0,3,0,0,0,0,0,2,0,5,3
spf,1785389608.1347787,home1,10.9.0.1,0,0,0,4,0,0,0,0,0,0,0,4,4
spf,1785389608.5385106,mob1,10.8.0.1,0,0,0,2,0,0,0,0,0,2,0,4,2
spf,1785389609.0502172,home2,10.9.0.2,0,0,0,0,0,0,0,0,0,1,0,1,0
spf,1785389609.0524168,corp2,10.7.0.2,0,1,0,2,0,0,0,0,0,8,0,11,3
spf,1785389617.2628777,root1,10.1.0.1,3,0,0,3,0,0,0,0,0,7,0,13,3
spf,1785389617.4341776,isp_gw,10.2.0.1,3,0,0,3,0,0,0,0,0,2,0,8,3
spf,1785389617.56644,mob2,10.8.0.2,0,1,0,2,0,0,0,0,0,4,0,7,3
spf,1785389625.5888422,root1,10.1.0.1,3,0,1,3,0,0,0,0,0,6,0,13,4
spf,1785389625.592643,origin,10.5.0.1,3,0,0,1,0,0,0,0,0,4,0,8,1
spf,1785389625.5969565,mob2,10.8.0.2,0,0,0,1,0,0,0,0,0,5,0,6,1
spf,1785389625.599866,cdn2,10.4.0.2,3,0,0,2,0,0,0,0,0,5,0,10,2
spf,1785389633.6025846,corp2,10.7.0.2,0,0,0,1,0,0,0,0,0,9,0,10,1
spf,1785389633.6064177,home2,10.9.0.2,0,0,0,0,0,0,0,0,0,2,0,2,0
spf,1785389633.6077254,isp_gw,10.2.0.1,3,0,0,0,0,0,0,0,0,5,0,8,0
spf,1785389641.6096046,isp_gw,10.2.0.1,3,0,0,0,0,0,0,0,0,5,0,8,0
spf,1785389641.613666,corp1,10.7.0.1,0,0,0,2,0,0,0,0,0,0,0,2,2
spf,1785389641.622931,origin,10.5.0.1,3,0,0,0,0,0,0,0,0,4,0,7,0
spf,1785389641.6265745,cdn2,10.4.0.2,3,0,0,2,0,0,0,0,0,5,0,10,2
spf,1785389649.6296709,mob1,10.8.0.1,0,0,0,2,0,0,0,0,0,2,0,4,2
spf,1785389649.6321588,cdn1,10.4.0.1,3,0,0,2,0,0,0,0,1,7,0,13,2
spf,1785389649.634911,mob2,10.8.0.2,0,1,0,0,0,0,0,0,0,1,0,2,1
spf,1785389649.6373138,origin,10.5.0.1,3,0,1,2,0,0,0,0,0,4,0,10,3
spf,1785389657.6412542,mob2,10.8.0.2,0,0,0,0,0,0,0,0,0,1,0,1,0
spf,1785389657.6477082,home2,10.9.0.2,0,0,0,0,0,0,0,0,0,3,0,3,0
spf,1785389657.6514692,mob1,10.8.0.1,0,0,0,3,0,0,0,0,0,0,0,3,3
spf,1785389657.655126,isp_gw,10.2.0.1,3,0,0,2,0,0,0,0,0,4,0,9,2
spf,1785389665.6596096,origin,10.5.0.1,3,0,0,1,0,0,0,0,0,3,0,7,1
spf,1785389665.6629243,cdn1,10.4.0.1,3,0,0,2,0,0,0,0,0,7,0,12,2
spf,1785389665.666633,home2,10.9.0.2,0,0,0,0,0,0,0,0,0,3,0,3,0
spf,1785389665.6856909,mob2,10.8.0.2,0,0,0,0,0,0,0,0,0,1,0,1,0
spf,1785389673.6914337,cdn1,10.4.0.1,3,0,0,2,0,0,0,0,0,5,0,10,2
spf,1785389673.7062798,corp2,10.7.0.2,0,0,0,1,0,0,0,0,0,6,0,7,1
spf,1785389673.7141275,cdn2,10.4.0.2,3,0,0,2,0,0,0,0,0,4,0,9,2
spf,1785389681.7186174,home2,10.9.0.2,0,0,0,0,0,0,0,0,0,3,0,3,0
spf,1785389681.7245564,mob2,10.8.0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
spf,1785389681.726748,origin,10.5.0.1,3,0,0,2,0,0,0,0,0,3,0,8,2
spf,1785389681.730001,home1,10.9.0.1,0,0,0,2,0,0,0,0,0,1,0,3,2
spf,1785389689.770579,isp_gw,10.2.0.1,3,0,1,3,1,0,0,0,0,2,0,10,4
spf,1785389689.7794418,home1,10.9.0.1,0,0,0,3,0,0,0,0,0,0,0,3,3
spf,1785389697.891611,origin,10.5.0.1,3,0,0,2,0,0,0,0,0,2,0,7,2
